Key,Epic Link,Summary,Status,Updated
DEOPSCSW-336,Event Services,Pattern based subscription,In Analysis,5/30/18 6:00
DEOPSCSW-337,Event Services,Subscribe to an event based on prefix,Done,4/24/18 9:44
DEOPSCSW-338,Event Services,Provide callback for Event alerts,Done,5/8/18 8:46
DEOPSCSW-339,Event Services,Provide actor ref to alert about Event arrival,Done,5/8/18 9:04
DEOPSCSW-340,Event Services,Provide most recently published event for subscribed prefix and name,Done,4/24/18 9:44
DEOPSCSW-341,Event Services,Allow to reuse single connection for subscribing to multiple EventKeys,TMT PO Validation,5/30/18 6:01
DEOPSCSW-342,Event Services,Subscription with consumption frequency,STIL validation,5/20/18 20:48
DEOPSCSW-343,Event Services,Unsubscribe based on prefix and event name,Done,5/24/18 8:49
DEOPSCSW-344,Event Services,Retrieve recently published event using prefix and eventname,Done,4/24/18 9:44
DEOPSCSW-345,Event Services,Publish events irrespective of subscriber existence,Done,5/24/18 9:19
DEOPSCSW-346,Event Services,Subscribe to event irrespective of Publisher's existence,Done,5/24/18 8:54
DEOPSCSW-352,Formal Release 1,SPIKE: large file storage on github,Done,1/30/18 5:49
DEOPSCSW-353,Formal Release 1,Implement provision to auto deploy application zips and sources to github,Done,3/13/18 22:21
DEOPSCSW-354,Formal Release 1,Process for Consumers to view changelog,Done,3/13/18 8:25
DEOPSCSW-355,Formal Release 1,Start csw-prod services by a single script,Done,3/13/18 13:23
DEOPSCSW-356,Formal Release 1,SPIKE: Jenkins Acceptance Pipeline,Done,3/20/18 9:30
DEOPSCSW-357,Formal Release 1,SPIKE: Execute regression suite against published binaries,Done,2/22/18 21:21
DEOPSCSW-358,Formal Release 1,Create independent github repository to pull csw libs from bintray and run acceptance tests against it,Done,3/13/18 13:02
DEOPSCSW-359,Formal Release 1,SPIKE: Paradox document versioning,Done,2/4/18 21:11
DEOPSCSW-360,Formal Release 1,Implement Paradox doc versioning,Done,3/13/18 13:03
DEOPSCSW-369,Connections and Command Service,Unique runId for commands,Done,2/13/18 7:49
DEOPSCSW-370,Framework Service,Remove DomainMsg from Framework,Done,2/21/18 23:27
DEOPSCSW-371,Connections and Command Service,Provide an API for CommandResponseManager that hides actor based interaction,Done,3/6/18 8:33
DEOPSCSW-372,Connections and Command Service,Provide an API for PubSubActor that hides actor based interaction,Done,3/6/18 8:33
DEOPSCSW-373,Framework Service,Update documentation after removing domainMsg,Done,3/1/18 7:41
DEOPSCSW-374,Formal Release 1,Identify non-public code and make it private,Done,3/13/18 8:09
DEOPSCSW-375,Formal Release 1,Document exceptions for services and apps,Done,4/12/18 7:41
DEOPSCSW-376,Formal Release 1,Update Readme for main and modules,Done,3/27/18 7:51
DEOPSCSW-377,Formal Release 1,Documentation for package/module,Done,3/22/18 8:17
DEOPSCSW-379,Event Services,Remove ccs package from csw.messages,Done,3/22/18 8:06
DEOPSCSW-380,Formal Release 1,Create csw template project using giter8,Done,4/12/18 7:41
DEOPSCSW-381,Formal Release 1,Write documentation for messages,Done,4/12/18 7:38
DEOPSCSW-382,Formal Release 1,"Write documentation for framework, commands and apps",Done,4/12/18 7:39
DEOPSCSW-383,Formal Release 1,"Write documentation for location, config modules and logging",Done,4/12/18 7:40
DEOPSCSW-384,Formal Release 1,Upgrade Akka to 2.5.11,Done,3/27/18 7:48
DEOPSCSW-385,Formal Release 1,Upgrade Akka-HTTP to 10.1.0,Done,3/22/18 8:50
DEOPSCSW-387,Formal Release 1,Add getting started guide for csw-prod consumers,Done,3/27/18 7:13
DEOPSCSW-388,Formal Release 1,Add create component guide for csw-prod consumers,Done,3/27/18 7:26
DEOPSCSW-389,Formal Release 1,Add guide for creating tests,Done,4/12/18 7:39
DEOPSCSW-390,Formal Release 1,Add overview of csw services,Done,4/12/18 7:40
DEOPSCSW-391,Formal Release 1,Add guide to create multiple components,Done,4/12/18 7:41
DEOPSCSW-392,Connections and Command Service,Provide a helper method in commands to create unique runId,Done,4/12/18 7:55
DEOPSCSW-394,Formal Release 1,Add guide for different sbt tasks,Done,3/27/18 7:22
DEOPSCSW-395,Event Services,Provide EventService handle to component developers,In Analysis,5/28/18 4:07
DEOPSCSW-396,Event Services,SPIKE: Setup test infrastructure for measuring throughput of event service,Done,4/6/18 9:56
DEOPSCSW-397,Event Services,SPIKE: Setup test infrastructure for measuring latency of event service,Done,4/5/18 3:48
DEOPSCSW-398,Event Services,Propagate failure for publish api (eventGenerator),Done,5/8/18 9:19
DEOPSCSW-399,Event Services,Propagate failure for publish api when redis/kafka server is down,In Analysis,5/29/18 1:20
DEOPSCSW-402,Event Services,Setup EC2 instances for measuring event service performance,Done,5/2/18 22:28
DEOPSCSW-403,Formal Release 1,Showcase for formal release 0.4.0,Done,5/1/18 22:27
DEOPSCSW-404,Event Services,Spike TestNG for event servicetest,Done,5/8/18 8:16
DEOPSCSW-405,Event Services,[Redis]Measure performance of model observatory scenario,In Dev,5/30/18 5:30
DEOPSCSW-406,Event Services,[Kafka]Measure performance of model observatory scenario,In Dev,5/20/18 20:48
DEOPSCSW-407,Event Services,Create infra suite for running multiple pubs/subs with different rates in multiple processes,STIL validation,5/20/18 20:48
DEOPSCSW-408,Event Services,[1-to-1]Measure performance of event service with varying payload sizes,In Dev,5/29/18 0:20
DEOPSCSW-410,Event Services,"SPIKE: Gather system statistics while running perf tests for hours, this includes:",STIL validation,5/24/18 23:51
DEOPSCSW-412,Event Services,Spike Redis Sentinel and compare its performance to Redis Single Server,STIL validation,5/22/18 0:07
DEOPSCSW-413,Formal Release 1,Review and merge v4.0.1-JavaTutorial,TMT PO Validation,5/29/18 5:05
Generated at Wed May 30 20:52:13 UTC 2018 by Jason Weiss using Jira 1001.0.0-SNAPSHOT#100086-sha1:eabe2b7b3e68d5819500750c754590843458404e. ,,,,
